	Unnamed: 0	round	batch	sent_id	sentence	worker_0	worker_1	worker_2	worker_3	worker_4	worker_5	worker_6	worker_7	disagree	agree	neutral	guid	in_held_out_test	stance	stance_id
11	11	1	0	t14	Flooding has been going on forever.	disagrees	disagrees	disagrees	neutral	neutral	neutral	disagrees	disagrees	0.7109930181908649	0.004516479749723	0.2844905020594119	1_0_t14	False	disagree	0
12	12	1	0	t15	Simply reducing emissions will not sufficiently limit global warming.	neutral	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0017036630845652	0.9733360767289408	0.0249602601864938	1_0_t15	False	agree	2
13	13	1	0	t16	Climate deniers blame global warming on aliens from outer space.	disagrees	agrees	neutral	agrees	neutral	neutral	agrees	neutral	0.0519086521947938	0.3878527042629064	0.5602386435422999	1_0_t16	False	neutral	1
14	14	1	0	t17	Global warming is inevitably going to be, at best, managed .	disagrees	agrees	agrees	neutral	agrees	neutral	disagrees	neutral	0.1994170577102589	0.4776982095748759	0.3228847327148652	1_0_t17	False	agree	2
15	15	1	0	t18	Some parts of the world the world, such as the coast of California, saw sea levels fall.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0007999830946563	0.0011837082893774	0.9980163086159662	1_0_t18	False	neutral	1
16	16	1	0	t19	If carbon dioxide emissions continue to rise beyond 2020, or even remain level, the temperature goals set in Paris become almost unattainable.	neutral	neutral	agrees	neutral	neutral	neutral	agrees	agrees	0.0032699080813876	0.3362163452011481	0.6605137467174642	1_0_t19	False	neutral	1
17	17	1	0	t2	The study is one more example that you can get any answer you want when the thermometer data errors are larger than the global warming signal you are looking for.	disagrees	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	0.9774752638680392	0.0024101080383205	0.0201146280936404	1_0_t2	False	disagree	0
18	18	1	0	t20	Millions more people around the world are threatened by river floods in coming decades due to climate change.	agrees	agrees	neutral	agrees	agrees	agrees	agrees	neutral	0.0026458023364111	0.869270009220085	0.1280841884435037	1_0_t20	False	agree	2
20	20	1	0	t22	Two billion people may be displaced by rising sea levels by the turn of the next century.	neutral	neutral	neutral	neutral	agrees	agrees	agrees	agrees	0.0033187811177468	0.5133335489524735	0.4833476699297798	1_0_t22	False	agree	2
21	21	1	0	t23	Global warming is real and threatening.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0007301524785511	0.9982364778132766	0.0010333697081722	1_0_t23	False	agree	2
